Date,time,operator,scriber,cleaving,Lot,Needle_maker,Needle_No,scribe_length,scribe_force,unseparate,peeling
2025/03/13,19:23:16,JC2024116,Scriber No.4,Cleaving No.7,24MNDEA0VAg01,Asahi,576,150.4,12.1,0,0
2025/03/13,20:25:58,JC2024116,Scriber No.5,Cleaving No.8,24MNDEA0VBe01,Asahi,566,152.4,11.9,0,0
2025/03/13,22:48:04,PF2025012,Scriber No.8,Cleaving No.12,24L2D1AMUCb01,Asahi,573,157.1,12,0,0
2025/03/13,22:50:37,JC2016103,Scriber No.3,Cleaving No.6,24H1NV238Bf01,Asahi,575,150.8,12.2,1.18,0
2025/03/13,23:17:20,JC2024118,Scriber No.5,Cleaving No.8,24L2D1AMVDg00,Asahi,566,152.1,11.9,0,0
2025/03/13,23:48:37,PF2025027,Scriber No.9,Cleaving No.4,24L2D1AMMDf01,Asahi,507,151.1,12.3,0,1
2025/03/14,0:01:55,PF2025027,Scriber No.6,Cleaving No.9,24L2D1AMVDb01,TECDIA,5,150.4,11.9,0,0
2025/03/14,1:23:41,JC2016103,Scriber No.8,Cleaving No.12,24L2D1AMUDd01,Asahi,573,155.1,12.3,0,0
2025/03/14,1:27:21,JC2016103,Scriber No.3,Cleaving No.6,24H1NV239Ae00,Asahi,575,153.4,12.2,0,0
2025/03/14,2:15:04,JC2016103,Scriber No.5,Cleaving No.8,24L2D1AMPBb01,Asahi,577,154.4,12.1,0.65,1
2025/03/14,19:08:02,JC2024116,Scriber No.4,Cleaving No.7,24MDDFA12Ca01,Asahi,579,153.4,12.2,0,0
2025/03/14,19:38:16,JC2024116,Scriber No.9,Cleaving No.4,24L2D1AMYAc01,Asahi,582,155.1,12,0,0
2025/03/14,21:56:11,JC2016103,Scriber No.7,Cleaving No.11,24L2D1AMYDg01,Asahi,583,157.8,12.1,0,0
2025/03/14,23:42:15,JC2024118,Scriber No.6,Cleaving No.9,24L2D1AN2Ab01,Asahi,5,150.4,11.9,0,2
2025/03/14,23:59:18,PF2025012,Scriber No.9,Cleaving No.4,24L2D1AN0Dg01,Asahi,582,150.6,11.9,0,0
2025/03/15,0:01:23,PF2025012,Scriber No.9,Cleaving No.4,24L2D1AN0Dg01,Asahi,582,150.6,11.9,0,0
2025/03/15,3:27:02,JC2024118,Scriber No.8,Cleaving No.12,24MRDHA48Dh00,Asahi,584,145.2,12,0,0
2025/03/15,6:46:52,JC2016103,Scriber No.3,Cleaving No.6,24L2D1AN4Ba01,Asahi,585,158.7,12,0.49,1
2025/03/15,8:00:04,JC2016103,Scriber No.5,Cleaving No.8,24LBDEA0LCe00,Asahi,577,157.7,12,0,3
2025/03/15,15:52:48,JC2024116,Scriber No.3,Cleaving No.6,24L2D1AN5Dg01,Asahi,149.8,12.2,12,0.2,0
2025/03/15,19:56:57,JC2024116,Scriber No.3,Cleaving No.6,24L3D1AN8Bb01,Asahi,587,155.8,12.3,0,0
2025/03/15,22:09:56,JC2024118,Scriber No.6,Cleaving No.9,24L3D1AN8Cc01,Asahi,589,148.5,12.3,0.9,0
2025/03/15,22:47:14,JC2024118,Scriber No.4,Cleaving No.7,24L3D1AN9Bb01,Asahi,588,153.1,12.2,0.96,0
2025/03/15,22:49:56,JC2016103,Scriber No.5,Cleaving No.8,24L3D1ANACe01,Asahi,577,154.8,11.9,0,0
2025/03/15,23:14:43,JC2024118,Scriber No.3,Cleaving No.6,24L3D1ANCAg01,Asahi,587,152.6,12.2,0,0
2025/03/15,23:34:42,JC2016103,Scriber No.8,Cleaving No.12,24L2D1AN1Dc01,Asahi,584,151.8,12.3,0,0
2025/03/16,0:13:01,JC2016103,Scriber No.4,Cleaving No.7,24L3D1AN9Ag00,Asahi,588,150.8,12.1,1.12,0
2025/03/16,1:51:21,JC2016103,Scriber No.4,Cleaving No.7,24L3D1ANCAb01,Asahi,590,153.6,12.3,0,0
2025/03/16,2:22:59,JC2016103,Scriber No.6,Cleaving No.9,24L3D1ANAAa00,Asahi,589,155.4,12.1,0,0
2025/03/16,4:40:01,JC2016103,Scriber No.9,Cleaving No.4,24L3D1AN9Cd00,Asahi,582,148.5,12,0,0
2025/03/16,5:30:05,JC2016103,Scriber No.7,Cleaving No.11,24L3D1ANCDg00,Asahi,583,153.7,12.1,0,0
2025/03/16,8:16:38,JC2024118,Scriber No.8,Cleaving No.12,24MRDHA49Cb01,Asahi,584,145.2,12,0.8,0
2025/03/16,9:28:25,JC2025004,Scriber No.8,Cleaving No.12,24L3D1APDDh00,Asahi,584,150.8,12,0.28,0
2025/03/16,11:35:08,PF2025028,Scriber No.4,Cleaving No.7,24H1NV241Dg01,Asahi,89,152.1,12,0,0
2025/03/16,13:30:18,JC2024097,Scriber No.4,Cleaving No.7,24LSNT316Bd01,Asahi,589,153.1,12.2,4.49,0
2025/03/16,16:05:14,JC2024097,Scriber No.5,Cleaving No.8,24L3D1ANGAe01,Asahi,591,148.8,12.2,0,0
2025/03/16,21:47:53,JC2024041,Scriber No.5,Cleaving No.8,24LDD1AS4Ah00,Asahi,591,153.8,11.9,0,0
2025/03/16,22:12:56,JC2024041,Scriber No.6,Cleaving No.9,24LDD1AS4Bf00,Asahi,589,150.1,11.9,0,0
2025/03/16,23:10:48,JC2024041,Scriber No.9,Cleaving No.4,24MDDFA17Ad01,Asahi,582,148.9,12.3,0.8,0
2025/03/16,23:28:53,JC2024041,Scriber No.7,Cleaving No.11,24MDDFA14Db01,Asahi,583,158.4,12,0,3
2025/03/17,0:18:57,JC2024041,Scriber No.8,Cleaving No.12,24MDDFA17Bd01,Asahi,584,151.1,12,0,0
2025/03/17,1:45:50,JC2024041,Scriber No.3,Cleaving No.6,24H1NV242Bh01,Asahi,587,155.1,12.2,0,0
2025/03/17,7:16:14,JC2024041,Scriber No.9,Cleaving No.4,24MDDFA18Dh01,Asahi,594,151.1,12.3,0,0
2025/03/17,13:18:33,JC2024101,Scriber No.6,Cleaving No.9,24MDDFA0RBc01,Asahi,595,149.1,12,1.93,18
2025/03/17,13:50:39,PF2025028,Scriber No.3,Cleaving No.6,24L2D1AMTBg01,Asahi,587,155.1,12.2,0.95,1
2025/03/17,15:21:03,JC2025004,Scriber No.7,Cleaving No.11,24L2D1AMTCe01,Asahi,596,155.1,12.3,0,3
2025/03/17,15:27:44,JC2024101,Scriber No.8,Cleaving No.12,24L3D1AP6Dg01,Asahi,597,155.7,11.9,0,0
2025/03/17,16:04:35,JC2024101,Scriber No.6,Cleaving No.9,24L3D1ANVAf01,Asahi,595,150.8,12.3,0.14,1
2025/03/17,22:52:07,JC2024041,Scriber No.5,Cleaving No.8,24LDD1ARVAg00,Asahi,595,148.8,12,0,0
2025/03/17,23:08:18,JC2024041,Scriber No.5,Cleaving No.8,24LDD1ARYDa00,Asahi,591,153.8,12.3,0,0
2025/03/17,23:40:05,JC2024041,Scriber No.8,Cleaving No.12,24L2D1AMTBb01,Asahi,597,152.4,12.2,0,0
2025/03/18,0:08:17,JC2024041,Scriber No.7,Cleaving No.11,24L3D1ANWCg01,Asahi,596,155.1,12,0,0
2025/03/18,0:33:12,JC2024041,Scriber No.9,Cleaving No.4,24L2D1AMTBe01,Asahi,594,147.8,12.2,0.1,0
2025/03/18,7:34:07,JC2024041,Scriber No.3,Cleaving No.6,24L3D1ANYAd01,Asahi,601,152.4,12.1,0,0
2025/03/18,9:21:40,PF2025028,Scriber No.6,Cleaving No.9,24L3D1ANZBg01,Asahi,602,149.8,12,0,0
2025/03/18,15:09:41,JC2024109,Scriber No.9,Cleaving No.4,24L3D1AP7Db01,Asahi,594,143.8,12.1,0,0
2025/03/18,20:55:23,JC2020061,Scriber No.8,Cleaving No.12,24L3D1AP6Be01,Asahi,597,155.5,11.9,0,0
2025/03/18,22:03:30,JC2024111,Scriber No.6,Cleaving No.9,24MRDHA4MDh00,Ogura,602,149.9,11.8,0,0
2025/03/18,22:13:27,JC2024111,Scriber No.7,Cleaving No.11,24L3D1APJCb01,Asahi,596,141.2,12.3,0,0
2025/03/18,23:26:12,JC2024041,Scriber No.3,Cleaving No.6,24L3D1APFCh01,Asahi,601,152.1,12,0,4
2025/03/19,0:09:49,JC2024111,Scriber No.9,Cleaving No.4,24LDD1AR5Cg01,Asahi,594,147.8,12.1,0.1,0
2025/03/19,6:44:42,JC2024041,Scriber No.5,Cleaving No.8,24LDD1AR8Bc01,Asahi,604,152.8,12.3,0.1,0
2025/03/19,13:08:51,JC2024097,Scriber No.2,Cleaving No.4,24LDD1AREAe01,Asahi,565,161.7,7,0,0
2025/03/19,14:20:26,JC2024097,Scriber No.3,Cleaving No.6,24LDD1ARBAb01,Asahi,601,157.1,12.1,0.14,2
2025/03/19,18:11:36,JC2024097,Scriber No.6,Cleaving No.9,24MNDEA11Bf00,Asahi,602,147.5,12.2,1.9,1
2025/03/19,22:02:32,JC2024041,Scriber No.6,Cleaving No.9,24LED1AT1Bf00,Asahi,602,152.1,12,1.1,0
2025/03/19,22:12:27,JC2024041,Scriber No.5,Cleaving No.8,24LED1AT1Da00,Asahi,604,149.5,11.8,2.7,0
2025/03/19,22:36:02,JC2024041,Scriber No.3,Cleaving No.6,24LED1AT1Cf00,Asahi,601,152.8,12.4,0.1,0
2025/03/20,3:05:57,JC2024041,Scriber No.8,Cleaving No.12,24LDD1ASBDg01,Asahi,605,151.8,12.1,2.4,0
2025/03/20,4:22:21,PF2025024,Scriber No.7,Cleaving No.11,24LDD1ARFCa01,Asahi,606,156.8,12.4,0,1
2025/03/20,4:48:29,JC2024041,Scriber No.4,Cleaving No.7,24LDD1ARFBg01,Asahi,607,151.9,12.4,0,0
2025/03/20,5:48:50,JC2019007,Scriber No.9,Cleaving No.11,24LDD1ARLAd01,Asahi,594,146.5,12,0,0
2025/03/20,6:27:04,JC2019007,Scriber No.8,Cleaving No.12,24LDD1AREDg01,Asahi,605,151.4,12.1,0.17,0
2025/03/20,9:25:36,PF2025027,Scriber No.9,Cleaving No.4,24LDD1ARECg01,Asahi,608,147.8,12.1,0,0
2025/03/20,14:40:20,JC2016103,Scriber No.6,Cleaving No.9,24LDD1ASEDg00,Asahi,610,143.2,12.1,0,0
2025/03/20,15:18:54,PF2025027,Scriber No.5,Cleaving No.8,24LDD1AS6Bc01,Asahi,609,150.1,12.1,0,2
2025/03/20,19:07:20,PF2025027,Scriber No.3,Cleaving No.6,24LDD1ARHCa01,Asahi,611,152.8,12,0,0
2025/03/20,23:31:23,JC2024116,Scriber No.4,Cleaving No.7,24MDDFA1BCc01,Ogura,,151.1,12.3,0,1
2025/03/20,23:58:37,JC2024116,Scriber No.3,Cleaving No.6,24LDD1ARWBa01,Asahi,611,150.4,12.3,0,0
2025/03/21,0:15:02,JC2024116,Scriber No.9,Cleaving No.4,24LDD1ARWAf01,Asahi,608,146.5,12.1,0,0
2025/03/21,0:25:45,JC2024116,Scriber No.6,Cleaving No.9,24LDD1ARWBg01,Asahi,610,148.5,12.3,0,0
2025/03/21,0:36:16,JC2024116,Scriber No.5,Cleaving No.8,24LDD1ARJDe01,Asahi,609,151.2,12.3,0,0
2025/03/21,0:48:27,JC2024116,Scriber No.7,Cleaving No.11,24LDD1ARJCa01,Asahi,606,152.4,12.2,0,1
2025/03/21,2:30:35,JC2024116,Scriber No.8,Cleaving No.12,24LDD1AS5Ch01,Asahi,605,149.2,12,0,0
2025/03/21,10:15:44,PF2025027,Scriber No.7,Cleaving No.11,24MNDEA14Bc01,Asahi,606,155.1,12,0,0
2025/03/21,15:31:43,PF2025012,Scriber No.8,Cleaving No.12,24LDD1ARCAa00,Asahi,616,145.5,12.1,3,0
2025/03/21,18:27:28,JC2024118,Scriber No.9,Cleaving No.12,24LDD1ARMDd00,Asahi,608,145.4,12,2,1
2025/03/21,19:20:27,JC2016103,Scriber No.8,Cleaving No.12,24MRDHA4NCc01,Asahi,616,152.1,11.9,12.2,0
2025/03/21,19:49:28,JC2016103,Scriber No.8,Cleaving No.12,24LDD1ASGDh00,Asahi,617,151.8,12.1,4.2,0
2025/03/21,20:18:49,JC2016103,Scriber No.8,Cleaving No.12,24LDD1ASHCf00,Asahi,617,149.1,12.1,0,0
2025/03/21,21:54:00,JC2017031,Scriber No.5,Cleaving No.8,24LDD1ARHDg01,Asahi,609,151.8,12,0,0
2025/03/22,0:17:19,PF2025009,Scriber No.4,Cleaving No.6,24LDD1ARMBb01,Ogura,,150.7,12.3,0,0
2025/03/22,0:30:14,PF2025009,Scriber No.9,Cleaving No.4,24LDD1ARMBe01,Asahi,608,146.8,12.1,0.2,1
2025/03/22,2:19:40,JC2024116,Scriber No.7,Cleaving No.11,24MDDFA1CCc01,Asahi,156.4,12.2,14.2,0,0
2025/03/22,2:32:30,PF2025009,Scriber No.5,Cleaving No.8,24LDD1ARMDb01,Asahi,609,150.8,12,0,3
2025/03/22,2:53:53,PF2025009,Scriber No.3,Cleaving No.6,24MRDHA4MDd01,Asahi,611,157.8,12.2,0,0
2025/03/22,3:12:42,PF2025009,Scriber No.6,Cleaving No.9,24LDD1ARRBa01,Asahi,610,153.1,12.4,0,1
2025/03/22,4:01:22,JC2024116,Scriber No.9,Cleaving No.12,24LDD1ASDCb01,Asahi,617,151.8,12.2,0,0
2025/03/22,16:21:09,JC2016103,Scriber No.7,Cleaving No.11,24LED1ASYBa00,Asahi,618,157.6,12.1,0,0
2025/03/22,23:23:51,JC2024116,Scriber No.4,Cleaving No.7,24LDD1AS2Aa00,Ogura,,150.4,12.4,0,3
