Serial_Number,Part_Number,Start_Date_Time,Operation,TestStation,Site,LotNumber_9,Mapper_Average_Mapper_PL_Lambda2,operator,part_number,serial_number,start_date_time
,,2017-12-27T18:29:47,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-27T18:29:47
,,2017-12-27T22:45:12,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-27T22:45:12
,,2017-12-28T02:50:05,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-28T02:50:05
,,2017-12-28T06:54:40,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-28T06:54:40
,,2017-12-28T13:07:14,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-28T13:07:14
,,2017-12-28T17:39:50,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-28T17:39:50
,,2017-10-24T23:52:48,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-24T23:52:48
,,2017-10-25T03:56:07,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-25T03:56:07
,,2017-10-25T08:00:27,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-25T08:00:27
,,2017-11-13T00:46:14,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-11-13T00:46:14
,,2017-11-25T08:31:38,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-11-25T08:31:38
,,2017-11-25T12:34:43,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-11-25T12:34:43
,,2017-11-25T16:49:41,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-11-25T16:49:41
,,2017-10-22T04:03:05,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-22T04:03:05
,,2017-10-22T17:21:45,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-22T17:21:45
,,2017-10-29T09:11:07,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-29T09:11:07
,,2017-10-29T13:48:05,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-29T13:48:05
,,2017-10-29T21:14:54,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-29T21:14:54
,,2017-10-30T01:28:43,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-30T01:28:43
,,2017-10-30T03:50:43,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-10-30T03:50:43
,,2017-11-11T14:34:57,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-11-11T14:34:57
,,2017-11-11T18:50:55,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-11-11T18:50:55
,,2017-11-12T07:12:36,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-11-12T07:12:36
,,2017-11-12T12:01:58,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-11-12T12:01:58
,,2017-11-12T16:33:49,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-11-12T16:33:49
,,2017-12-17T13:01:00,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-17T13:01:00
,,2017-12-17T17:09:51,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-17T17:09:51
,,2017-12-21T20:39:09,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-21T20:39:09
,,2017-12-23T04:44:22,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-23T04:44:22
,,2017-12-23T08:51:46,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2017-12-23T08:51:46
,,2016-05-24T00:15:57,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-24T00:15:57
,,2016-05-24T04:13:49,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-24T04:13:49
,,2016-05-24T08:14:13,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-24T08:14:13
,,2016-05-24T13:01:48,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-24T13:01:48
,,2016-05-24T18:03:33,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-24T18:03:33
,,2016-05-24T21:25:01,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-24T21:25:01
,,2016-05-25T02:18:51,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-25T02:18:51
,,2016-05-25T09:27:39,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-25T09:27:39
,,2016-05-26T01:22:57,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-26T01:22:57
,,2016-05-26T10:24:39,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-26T10:24:39
,,2016-05-26T15:53:08,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-26T15:53:08
,,2016-05-26T18:32:31,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-26T18:32:31
,,2016-05-26T23:23:56,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-26T23:23:56
,,2016-05-27T02:46:22,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-27T02:46:22
,,2016-05-27T07:27:24,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-27T07:27:24
,,2016-05-27T11:41:59,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-27T11:41:59
,,2016-05-27T16:31:24,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-27T16:31:24
,,2016-05-27T20:28:27,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-27T20:28:27
,,2016-05-28T00:29:57,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-05-28T00:29:57
,,2016-07-22T16:35:41,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-07-22T16:35:41
,,2016-08-01T20:25:10,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-01T20:25:10
,,2016-08-02T05:33:53,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-02T05:33:53
,,2016-08-02T08:31:58,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-02T08:31:58
,,2016-08-02T13:01:02,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-02T13:01:02
,,2016-08-02T17:04:46,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-02T17:04:46
,,2016-08-02T23:34:47,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-02T23:34:47
,,2016-08-03T13:42:41,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-03T13:42:41
,,2016-08-03T17:04:03,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-03T17:04:03
,,2016-08-03T21:26:28,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-03T21:26:28
,,2016-08-04T01:31:47,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-04T01:31:47
,,2016-08-04T05:26:08,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-04T05:26:08
,,2016-08-04T09:11:52,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-04T09:11:52
,,2016-08-09T01:02:25,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-09T01:02:25
,,2016-08-09T05:00:09,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-09T05:00:09
,,2016-08-09T10:23:43,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-09T10:23:43
,,2016-08-19T10:31:03,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-08-19T10:31:03
,,2016-09-20T14:22:10,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-09-20T14:22:10
,,2016-09-20T18:21:51,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-09-20T18:21:51
,,2016-09-20T22:42:34,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-09-20T22:42:34
,,2016-10-07T01:07:02,LD-EML_F2_Format2,LD-EML,350,,5000.0,工程,,エピNo.,2016-10-07T01:07:02
